a_x, a_y, a_z, t
-0.0,-0.0,0.25,0.4246029853820801
-0.0,-0.0,0.25,0.42489147186279297
-0.0,-0.0,0.25,0.43149232864379883
-0.0,-0.0,0.25,0.4321880340576172
-0.0,-0.0,0.25,0.43293261528015137
-0.0,-0.0,0.25,0.4332718849182129
-0.0,-0.0,0.25,0.44140076637268066
-0.0,-0.0,0.25,0.441666841506958
-0.0,-0.0,0.25,0.4419422149658203
-0.0,-0.0,0.24,0.44220519065856934
-0.0,-0.0,0.25,0.44908905029296875
-0.0,-0.0,0.25,0.4633762836456299
-0.0,-0.0,0.25,0.46663618087768555
-0.0,-0.0,0.25,0.4669623374938965
-0.0,-0.0,0.25,0.467266321182251
-0.0,-0.0,0.25,0.46756577491760254
-0.0,-0.0,0.25,0.469973087310791
-0.0,-0.0,0.25,0.47023820877075195
-0.0,-0.0,0.25,0.47049999237060547
-0.0,-0.0,0.25,0.47075486183166504
-0.0,-0.0,0.25,0.4710104465484619
-0.0,-0.0,0.24,0.4712669849395752
-0.0,-0.0,0.25,0.4715280532836914
-0.0,-0.0,0.25,0.47458744049072266
0.0,-0.0,0.25,0.4762113094329834
-0.0,-0.0,0.25,0.47652697563171387
-0.0,-0.0,0.25,0.47684288024902344
-0.0,-0.0,0.25,0.48215222358703613
0.0,-0.0,0.25,0.48578739166259766
-0.0,-0.0,0.25,0.4861898422241211
-0.0,-0.0,0.25,0.49059486389160156
-0.0,-0.0,0.25,0.49086928367614746
-0.0,-0.0,0.25,0.49193501472473145
-0.0,-0.0,0.25,0.4922616481781006
-0.0,-0.0,0.25,0.49602389335632324
-0.0,-0.0,0.25,0.4962348937988281
-0.0,-0.0,0.25,0.5001857280731201
0.0,-0.0,0.25,0.5005521774291992
-0.0,-0.0,0.25,0.5041871070861816
-0.0,-0.0,0.25,0.5044093132019043
-0.0,-0.0,0.25,0.508643627166748
-0.0,-0.0,0.24,0.5088417530059814
-0.0,-0.0,0.25,0.5127370357513428
-0.0,-0.0,0.25,0.5129232406616211
-0.0,-0.0,0.25,0.5162975788116455
-0.0,-0.0,0.25,0.5201282501220703
-0.0,-0.0,0.25,0.5204586982727051
-0.0,-0.0,0.25,0.5241010189056396
-0.0,-0.0,0.25,0.5243887901306152
-0.0,-0.0,0.25,0.528109073638916
-0.0,-0.0,0.25,0.5283699035644531
-0.0,-0.0,0.25,0.5321974754333496
-0.0,-0.0,0.25,0.5324804782867432
