a_x,a_y,a_z,t
-0.00091,-0.01202,0.24967,0.4865427017211914
-0.00171,-0.01196,0.24888,0.48691296577453613
-0.00079,-0.01177,0.249,0.4896078109741211
-0.00055,-0.01177,0.25138,0.49223780632019043
0.01464,-0.01269,0.24711,0.49500393867492676
0.00049,-0.01244,0.24894,0.49779558181762695
-0.00183,-0.01135,0.24821,0.4982872009277344
-0.0003,-0.01128,0.26443,0.5010366439819336
-0.00195,-0.01391,0.24613,0.5035605430603027
-0.00085,-0.0119,0.24766,0.5063455104827881
-0.00207,-0.01208,0.24742,0.508885383605957
-0.00085,-0.01025,0.24925,0.5092525482177734
-0.0003,-0.01153,0.24705,0.5119359493255615
-0.00012,-0.01183,0.25303,0.5147018432617188
0.0136,-0.01275,0.24675,0.5174810886383057
-0.00232,-0.01232,0.24583,0.5206148624420166
-0.00159,-0.01135,0.24906,0.5232982635498047
-0.00201,-0.01409,0.2479,0.5236821174621582
-0.00122,-0.01165,0.24766,0.5264315605163574
-0.00067,-0.01336,0.24705,0.5290646553039551
-0.00037,-0.01122,0.24876,0.5316421985626221
-0.00122,-0.01269,0.25016,0.5346763134002686
-0.00024,-0.01281,0.25059,0.535186767578125
0.00061,-0.01232,0.24839,0.5377511978149414
-0.00335,-0.01147,0.24766,0.5404343605041504
-0.00244,-0.01183,0.25034,0.5431578159332275
-0.00195,-0.01098,0.24845,0.5457298755645752
-0.00293,-0.01305,0.2487,0.5460948944091797
-0.00049,-0.01238,0.25004,0.5487353801727295
-0.00317,-0.01287,0.24845,0.5515408515930176
-0.00134,-0.01147,0.24833,0.5540406703948975
-0.00238,-0.01543,0.24833,0.5566973686218262
-0.00268,-0.01122,0.24845,0.5570554733276367
-0.00183,-0.01135,0.24607,0.560122013092041
-0.00183,-0.01391,0.24662,0.5626797676086426
-0.00378,-0.01318,0.23491,0.5654914379119873
-0.00317,-0.01208,0.25169,0.5681419372558594
-0.00232,-0.01147,0.24491,0.5710196495056152
-0.00152,-0.01068,0.24845,0.5712416172027588
-0.00098,-0.01159,0.2462,0.5739741325378418
-0.00268,-0.01257,0.24705,0.5766706466674805
-0.00213,-0.01141,0.25059,0.5794835090637207
0.01555,-0.01006,0.24662,0.5821716785430908
-0.00165,-0.01128,0.24888,0.5824356079101562
-0.00262,-0.01202,0.24675,0.5854353904724121
-0.00207,-0.01183,0.24912,0.5881693363189697
-0.00268,-0.01,0.26364,0.5908277034759521
-0.00061,-0.01135,0.25108,0.5934953689575195
-0.00189,-0.01336,0.24607,0.5938453674316406
-0.00049,-0.01159,0.24705,0.5966076850891113
-0.00232,-0.01196,0.24937,0.5993034839630127
-6e-05,-0.01251,0.24906,0.6020078659057617
-0.0014,-0.01104,0.24607,0.6046669483184814
-0.00244,-0.01141,0.24851,0.6074376106262207
-0.00146,-0.01171,0.24888,0.6078355312347412
-0.00165,-0.01251,0.24827,0.6104764938354492
-0.00037,-0.01208,0.25022,0.6131515502929688
-0.00201,-0.01251,0.2498,0.6157674789428711
-0.00104,-0.01403,0.25059,0.6186032295227051
-0.00037,-0.00952,0.24479,0.6189842224121094
-0.00159,-0.01232,0.25144,0.6221189498901367
-0.00415,-0.01159,0.24717,0.6248219013214111
-0.00201,-0.01086,0.24504,0.62760329246521
-0.00128,-0.01232,0.25102,0.630265474319458
-0.00091,-0.0119,0.25254,0.6306307315826416
-0.00293,-0.01257,0.23772,0.6334183216094971
-0.00397,-0.01214,0.24656,0.6361289024353027
-0.00366,-0.01061,0.24833,0.6387603282928467
-0.00073,-0.01104,0.24613,0.6414859294891357
-0.00213,-0.01019,0.24748,0.6441481113433838
-0.00451,-0.01293,0.24589,0.6444871425628662
-0.00091,-0.01202,0.26437,0.6471283435821533
-0.00366,-0.01135,0.2487,0.6499049663543701
-0.00043,-0.01037,0.25169,0.6525688171386719
-0.00146,-0.01287,0.24821,0.6553952693939209
-0.00091,-0.0119,0.24729,0.6558375358581543
-0.00171,-0.01366,0.23485,0.6584875583648682
-0.00171,-0.01183,0.25291,0.6610209941864014
-0.00262,-0.01244,0.25333,0.6639220714569092
-0.00195,-0.01208,0.25028,0.6665465831756592
-0.00213,-0.01031,0.24986,0.6669917106628418
-0.00116,-0.01116,0.24693,0.6696305274963379
-0.00122,-0.01049,0.24778,0.6723024845123291
-0.00299,-0.01354,0.2515,0.6750550270080566
-0.00201,-0.0136,0.24821,0.6776590347290039
-0.0011,-0.01135,0.24766,0.6803140640258789
-0.00085,-0.01232,0.24681,0.6808009147644043
-0.00098,-0.01147,0.24949,0.6834330558776855
-0.00244,-0.01299,0.2487,0.6863040924072266
-0.00079,-0.01128,0.24796,0.6889979839324951
-0.00104,-0.01159,0.24662,0.6916663646697998
-0.00213,-0.01238,0.24742,0.6921083927154541
-0.00165,-0.01385,0.23546,0.6949093341827393
-0.00146,-0.01366,0.24742,0.6975646018981934
-0.00037,-0.01128,0.24888,0.7002227306365967
-0.00037,-0.0111,0.24876,0.7029509544372559
-0.00104,-0.01214,0.24796,0.7034177780151367
-0.00165,-0.01299,0.24882,0.706071138381958
-0.00274,-0.01177,0.24748,0.7086517810821533
-0.0036,-0.01275,0.25394,0.7110416889190674
-0.00146,-0.01202,0.24851,0.7138271331787109
-0.00384,-0.01251,0.24912,0.7166860103607178
-0.0022,-0.01147,0.24815,0.7168440818786621
-0.00195,-0.01159,0.24656,0.7195558547973633
-0.00159,-0.01183,0.25059,0.7222440242767334
-0.00177,-0.01232,0.24711,0.7255897521972656
-0.00323,-0.01299,0.24821,0.7282381057739258
-0.00177,-0.01263,0.24626,0.7284619808197021
-0.00409,-0.01055,0.2515,0.7313699722290039
-0.00116,-0.01232,0.24931,0.7340154647827148
-0.00085,-0.01415,0.25077,0.7368640899658203
-0.00287,-0.01055,0.25187,0.7395069599151611
-0.00104,-0.01202,0.26431,0.7397432327270508
-0.00226,-0.01238,0.25327,0.7426807880401611
0.00018,-0.01153,0.24656,0.745389461517334
